Time	S1	S2	I1	I2	Y1	Y2	R1	R2	D1	D2	V1	V2	NewI	NewY
169.464286	392601.937711	112156.839137	4108.710765	365.118975	2139.626033	154.667724	43879869.933381	2599081.449759	219767.792110	143461.924405	18625114.048308	1998652.774261	26225180.400583	1331099.458631	
170.467033	392576.991161	112153.133425	3823.864805	341.563025	2007.245710	146.170320	43880309.433870	2599111.952411	219770.464454	143467.180820	18625114.048308	1998652.774261	26225209.052846	1331128.199934	
171.469780	392553.698746	112149.671970	3558.358658	319.495754	1882.840364	138.127690	43880720.146533	2599140.601485	219772.955699	143472.103101	18625114.048308	1998652.774261	26225235.806715	1331155.037568	
172.472527	392531.970726	112146.441547	3311.139757	298.837111	1765.983612	130.517627	43881103.630205	2599167.494482	219775.275700	143476.709234	18625114.048308	1998652.774261	26225260.765158	1331180.074726	
173.475275	392511.718928	112143.429167	3081.170583	279.508966	1656.262644	123.318645	43881461.413680	2599192.726434	219777.434166	143481.016787	18625114.048308	1998652.774261	26225284.029336	1331203.412791	
174.478022	392492.856747	112140.622082	2867.428666	261.435117	1553.278213	116.509983	43881794.995710	2599216.389906	219779.440664	143485.042912	18625114.048308	1998652.774261	26225305.698602	1331225.151330	
175.480769	392475.299149	112138.007783	2668.906585	244.541284	1456.644642	110.071602	43882105.845004	2599238.574989	219781.304619	143488.804342	18625114.048308	1998652.774261	26225325.870500	1331245.388099	
176.483516	392458.962667	112135.573996	2484.611967	228.755111	1365.989822	103.984189	43882395.400232	2599259.369308	219783.035311	143492.317395	18625114.048308	1998652.774261	26225344.640768	1331264.219041	
177.486264	392443.765404	112133.308691	2313.567488	214.006170	1280.955211	98.229152	43882665.070020	2599278.858017	219784.641877	143495.597970	18625114.048308	1998652.774261	26225362.103335	1331281.738284	
178.489011	392429.627033	112131.200074	2154.810871	200.225954	1201.195834	92.788622	43882916.232952	2599297.123799	219786.133311	143498.661551	18625114.048308	1998652.774261	26225378.350324	1331298.038146	
179.491758	392416.468793	112129.236590	2007.394889	187.347883	1126.380284	87.645455	43883150.237572	2599314.246870	219787.518462	143501.523202	18625114.048308	1998652.774261	26225393.472048	1331313.209130	
180.494505	392404.213495	112127.406923	1870.387363	175.307300	1056.190722	82.783231	43883368.402381	2599330.304974	219788.806039	143504.197573	18625114.048308	1998652.774261	26225407.557014	1331327.339927	
181.497253	392392.785516	112125.699995	1742.871164	164.041473	990.322877	78.186250	43883572.015838	2599345.373388	219790.004605	143506.698894	18625114.048308	1998652.774261	26225420.691920	1331340.517414	
182.500000	392382.110805	112124.104969	1623.944208	153.489596	928.486045	73.839539	43883762.336362	2599359.524917	219791.122580	143509.040980	18625114.048308	1998652.774261	26225432.961658	1331352.826656	
183.502747	392372.116877	112122.611244	1512.719463	143.592785	870.403089	69.728846	43883940.592329	2599372.829897	219792.168241	143511.237229	18625114.048308	1998652.774261	26225444.449310	1331364.350905	
184.505495	392362.741493	112121.209693	1408.444509	134.298903	815.818176	65.840727	43884107.847207	2599385.351226	219793.148616	143513.299452	18625114.048308	1998652.774261	26225455.226246	1331375.161728	
185.508242	392353.973380	112119.898468	1311.056060	125.586431	764.547151	62.163626	43884264.359061	2599397.119320	219794.064348	143515.232155	18625114.048308	1998652.774261	26225465.305584	1331385.272562	
186.510989	392345.785288	112118.673490	1220.256475	117.427422	716.419638	58.687306	43884410.620359	2599408.170268	219794.918239	143517.041514	18625114.048308	1998652.774261	26225474.718653	1331394.714879	
187.513736	392338.145776	112117.530092	1135.687284	109.792099	671.267266	55.401858	43884547.186020	2599418.541781	219795.713654	143518.734169	18625114.048308	1998652.774261	26225483.501563	1331403.524908	
188.516484	392331.023976	112116.463696	1056.995511	102.651390	628.926565	52.297678	43884674.600046	2599428.270626	219796.453902	143520.316609	18625114.048308	1998652.774261	26225491.689759	1331411.738212	
189.519231	392324.389590	112115.469809	983.833672	95.976922	589.238966	49.365468	43884793.395528	2599437.392630	219797.142243	143521.795171	18625114.048308	1998652.774261	26225499.318032	1331419.389697	
190.521978	392318.212895	112114.544027	915.859776	89.741022	552.050801	46.596238	43884904.094644	2599445.942673	219797.781884	143523.176040	18625114.048308	1998652.774261	26225506.420510	1331426.513606	
191.524725	392312.464738	112113.682031	852.737324	83.916721	517.213302	43.981303	43885007.208657	2599453.954697	219798.375979	143524.465248	18625114.048308	1998652.774261	26225513.030662	1331433.143523	
192.527473	392307.116540	112112.879593	794.135309	78.477749	484.582603	41.512285	43885103.237920	2599461.461698	219798.927628	143525.668676	18625114.048308	1998652.774261	26225519.181298	1331439.312370	
193.530220	392302.140293	112112.132569	739.728217	73.398537	454.019738	39.181111	43885192.671868	2599468.495731	219799.439883	143526.792052	18625114.048308	1998652.774261	26225524.904569	1331445.052410	
194.532967	392297.508562	112111.436903	689.196026	68.654219	425.390643	36.980016	43885275.989028	2599475.087908	219799.915740	143527.840954	18625114.048308	1998652.774261	26225530.231965	1331450.395244	
195.535714	392293.194484	112110.788628	642.224207	64.220628	398.566153	34.901540	43885353.657011	2599481.268398	219800.358145	143528.820806	18625114.048308	1998652.774261	26225535.194318	1331455.371811	
196.538462	392289.171769	112110.183863	598.503722	60.074299	373.422006	32.938529	43885426.132514	2599487.066428	219800.769989	143529.736881	18625114.048308	1998652.774261	26225539.821800	1331460.012393	
197.541209	392285.414696	112109.618814	557.731028	56.192469	349.838841	31.084138	43885493.861322	2599492.510280	219801.154114	143530.594299	18625114.048308	1998652.774261	26225544.143921	1331464.346609	
198.543956	392281.898121	112109.089774	519.608071	52.553075	327.702195	29.331825	43885557.278307	2599497.627297	219801.513306	143531.398029	18625114.048308	1998652.774261	26225548.189535	1331468.403417	
199.546703	392278.599845	112108.593467	483.873968	49.136284	306.906986	27.675466	43885616.769192	2599502.442256	219801.850009	143532.152527	18625114.048308	1998652.774261	26225551.984119	1331472.208389	
200.549451	392275.514882	112108.129097	450.493028	45.934031	287.388552	26.110271	43885672.438966	2599506.967100	219802.164572	143532.859501	18625114.048308	1998652.774261	26225555.533452	1331475.767333	
201.552198	392272.633845	112107.695250	419.365925	42.936207	269.082970	24.631844	43885724.459324	2599511.215526	219802.457935	143533.521173	18625114.048308	1998652.774261	26225558.848336	1331479.091087	
202.554945	392269.945651	112107.290269	390.369679	40.131780	251.925037	23.235863	43885773.028381	2599515.202097	219802.731252	143534.139990	18625114.048308	1998652.774261	26225561.941511	1331482.192430	
203.557692	392267.439427	112106.912532	363.383302	37.509977	235.851334	21.918133	43885818.340275	2599518.941015	219802.985662	143534.718342	18625114.048308	1998652.774261	26225564.825472	1331485.083901	
