Time	S1	S2	I1	I2	Y1	Y2	R1	R2	D1	D2	V1	V2	NewI	NewY
71.195055	1134292.686557	343418.243688	4916267.102280	344886.319581	353319.932217	11063.894761	37933204.905615	1982224.882375	161403.373332	173626.659595	19737181.932493	1266424.975997	24872388.161265	893861.429857	
72.197802	1065983.823804	332674.678805	4613602.699434	329659.528880	349849.562723	11010.981732	38304448.436575	2003240.717500	164603.477464	178634.093083	19737181.932493	1266424.975997	24951440.588901	918170.822921	
73.200549	1005559.032294	322868.622338	4325993.597549	314654.497101	345481.107086	10931.342973	38653848.561987	2023347.533336	167605.701085	183418.004252	19737181.932493	1266424.975997	25021671.436878	941251.731064	
74.203297	951918.760977	313907.374301	4053377.985994	299944.549422	340309.639984	10827.287011	38982461.550668	2042558.660439	170420.062376	187982.128826	19737181.932493	1266424.975997	25084272.956232	963134.976872	
75.206044	904122.762142	305707.861231	3795557.577217	285589.862345	334427.707395	10701.072423	39291323.570629	2060890.322354	173056.382617	192330.881647	19737181.932493	1266424.975997	25140268.468137	983854.812585	
76.208791	861390.091417	298196.636194	3552197.606746	271637.463694	327925.326589	10554.907831	39581450.689070	2078361.635606	175524.286178	196469.356674	19737181.932493	1266424.975997	25190512.363898	1003448.920095	
77.211538	823099.107770	291309.878782	3322826.833188	258121.232619	320889.986133	10390.951908	39853838.872384	2094994.609707	177833.200525	200403.326984	19737181.932493	1266424.975997	25235690.104959	1021958.410947	
78.214286	788776.499811	284992.686680	3106841.182962	245062.777792	313408.406722	10211.347592	40109469.491066	2110813.975897	179992.419438	204139.212038	19737181.932493	1266424.975997	25276329.905019	1039427.970981	
79.217033	757822.628795	279182.879026	2903650.515676	232490.706649	305595.840115	10018.820714	40349406.809177	2125844.108366	182012.206237	207683.485245	19737181.932493	1266424.975997	25313093.583689	1055907.337800	
80.219780	729845.476380	273835.592094	2712695.256467	220410.053962	297511.107196	9815.064904	40574535.390366	2140115.462880	183900.769592	211043.826161	19737181.932493	1266424.975997	25346418.023037	1071441.072569	
81.222527	704585.622744	268915.908547	2533402.570444	208814.714308	289190.208649	9601.318201	40785644.309431	2153659.914418	185665.288732	214228.144525	19737181.932493	1266424.975997	25376597.560218	1086071.030917	
82.225275	681794.781276	264390.492638	2365209.851441	197698.267785	280670.600142	9378.822209	40983500.008530	2166508.311606	187312.758611	217244.105763	19737181.932493	1266424.975997	25403913.817596	1099838.506644	
83.228022	661235.798569	260227.590202	2207564.722015	187053.980008	271991.192327	9148.822089	41168846.297177	2178690.476720	188849.989912	220099.130981	19737181.932493	1266424.975997	25428635.702738	1112784.231725	
84.230769	642682.654428	256397.028665	2059925.033448	176874.802112	263192.350837	8912.566567	41342404.352244	2190235.205681	190283.609043	222800.396976	19737181.932493	1266424.975997	25451019.408418	1124948.376309	
85.233516	625920.461863	252870.217034	1921758.865746	167153.370750	254315.896288	8671.307931	41504872.717963	2201170.268061	191620.058140	225354.836224	19737181.932493	1266424.975997	25471308.412613	1136370.548715	
86.236264	610745.467093	249620.145909	1792544.527638	157882.008094	245405.104281	8426.302028	41656927.305921	2211522.407077	192865.595066	227769.136892	19737181.932493	1266424.975997	25489733.478508	1147089.795438	
87.239011	596965.049547	246621.387471	1671770.556580	149052.721835	236504.705399	8178.808270	41799221.395064	2221317.339596	194026.293410	230049.742829	19737181.932493	1266424.975997	25506512.654492	1157144.601143	
88.241758	584397.721859	243850.095490	1558935.718750	140657.205182	227660.885208	7930.089629	41932385.631695	2230579.756132	195108.042488	232202.853568	19737181.932493	1266424.975997	25521851.274161	1166572.888670	
89.244505	572873.129874	241284.005322	1453549.009051	132686.836864	218921.284257	7681.412638	42057028.029474	2239333.320846	196116.547343	234234.424329	19737181.932493	1266424.975997	25535941.956313	1175412.019033	
90.247253	562232.052643	238902.433911	1355129.651110	125132.681127	210334.998079	7434.047395	42173733.969421	2247600.671550	197057.328746	236150.166017	19737181.932493	1266424.975997	25548964.604955	1183698.791416	
91.250000	552327.422209	236686.333213	1263206.694668	117985.360688	201952.257703	7189.262626	42283065.907551	2255403.484056	197935.717869	237955.559417	19737181.932493	1266424.975997	25561085.336088	1191469.437718	
92.252747	543141.909740	234624.956413	1177304.978002	111220.841049	193780.959912	6947.611237	42385504.189292	2262769.280468	198755.963054	239657.310833	19737181.932493	1266424.975997	25572332.225357	1198757.012894	
93.255495	534681.086058	232711.110434	1097057.602906	104814.604880	185804.128923	6709.106026	42481424.000915	2269723.644202	199521.181198	241261.534458	19737181.932493	1266424.975997	25582706.895017	1205587.490269	
94.258242	526893.374459	230935.222263	1022150.255881	98750.338478	178020.408154	6473.963740	42571189.432950	2276287.253921	200234.528555	242773.221598	19737181.932493	1266424.975997	25592270.494787	1211985.253347	
95.260989	519728.948083	229288.046390	952276.572358	93012.293991	170429.697616	6242.412451	42655153.704222	2282480.055859	200899.077720	244197.191309	19737181.932493	1266424.975997	25601082.097037	1217974.055529	
96.263736	513139.729917	227760.664803	887138.136698	87585.289418	163033.153914	6014.691556	42733659.161850	2288321.263825	201517.817621	245538.090398	19737181.932493	1266424.975997	25609198.696790	1223577.020113	
97.266484	507079.392796	226344.486993	826444.482193	82454.708611	155833.190243	5791.051777	42807037.281246	2293829.359199	202093.653521	246800.393420	19737181.932493	1266424.975997	25616675.211721	1228816.640298	
98.269231	501503.359399	225031.249951	769913.091068	77606.501275	148833.476391	5571.755160	42875608.666120	2299022.090935	202629.407022	247988.402680	19737181.932493	1266424.975997	25623564.482160	1233714.779178	
99.271978	496368.802255	223813.018168	717269.394476	73027.182966	142038.938738	5357.075076	42939683.048471	2303916.475558	203127.816061	249106.248232	19737181.932493	1266424.975997	25629917.271087	1238292.669747	
100.274725	491634.643737	222682.183636	668246.772501	68703.835090	135455.760257	5147.296223	42999559.288597	2308528.797170	203591.534909	250157.887881	19737181.932493	1266424.975997	25635782.264138	1242570.914896	
101.277473	487261.556065	221631.465848	622586.554160	64624.104910	129091.380513	4942.714621	43055525.375087	2312874.607440	204023.134175	251147.107181	19737181.932493	1266424.975997	25641206.069597	1246569.487414	
102.280220	483211.961306	220653.911798	580038.017398	60776.205536	122954.495664	4743.637617	43107858.424827	2316968.725614	204425.100805	252077.519435	19737181.932493	1266424.975997	25646233.218406	1250307.729988	
103.282967	479450.031375	219742.895980	540358.389094	57148.915933	117055.058458	4550.383881	43156824.682995	2320825.238510	204799.838078	252952.565695	19737181.932493	1266424.975997	25650906.164155	1253804.355205	
104.285714	475941.688031	218892.120390	503312.845055	53731.580918	111404.278238	4363.283410	43202679.523064	2324457.500518	205149.665612	253775.514765	19737181.932493	1266424.975997	25655265.283089	1257077.445546	
105.288462	472669.242866	218097.277536	468707.757518	50511.667696	105997.819850	4182.374267	43245636.773497	2327879.066823	205476.406270	254549.613678	19737181.932493	1266424.975997	25659332.571108	1260142.542250	
106.291209	469628.195813	217356.075082	436417.066091	47476.838864	100815.314997	4007.339856	43285846.236801	2331102.062954	205781.186298	255277.683244	19737181.932493	1266424.975997	25663114.820614	1263010.597654	
107.293956	466804.702152	216665.425229	406313.525937	44617.620929	95846.729573	3838.018334	43323457.819569	2334136.790060	206065.222768	255962.145448	19737181.932493	1266424.975997	25666628.964128	1265692.236729	
108.296703	464185.231985	216022.316155	378272.524698	41924.863359	91082.942118	3674.263435	43358617.593871	2336993.211694	206329.707329	256605.345357	19737181.932493	1266424.975997	25669891.543370	1268197.835073	
109.299451	461756.573055	215423.812309	352172.086890	39389.738018	86515.740789	3515.944415	43391467.793123	2339680.954091	206575.806142	257209.551167	19737181.932493	1266424.975997	25672918.706146	1270537.518696	
110.302198	459505.830748	214867.054410	327892.873913	37003.739163	82137.823363	3362.946056	43422146.812092	2342209.306163	206804.659883	257776.954207	19737181.932493	1266424.975997	25675726.206352	1272721.164016	
111.304945	457420.428093	214349.259449	305318.184046	34758.683449	77942.797230	3215.168664	43450789.206891	2344587.219499	207017.383740	258309.668938	19737181.932493	1266424.975997	25678329.403968	1274758.397859	
112.307692	455488.105758	213867.720689	284333.952445	32646.709922	73925.179401	3072.528069	43477525.694980	2346823.308367	207215.067416	258809.732953	19737181.932493	1266424.975997	25680743.265063	1276658.597460	
113.310440	453696.922055	213419.807661	264828.751148	30660.280025	70080.396502	2934.955625	43502483.155167	2348925.849713	207398.775128	259279.106976	19737181.932493	1266424.975997	25682982.361794	1278430.890463	
114.313187	452035.252937	213002.966170	246693.789072	28792.177594	66404.784776	2802.398210	43525784.627610	2350902.783162	207569.545604	259719.674864	19737181.932493	1266424.975997	25685060.872403	1280084.154921	
115.315934	450491.792000	212614.718290	229822.912014	27035.508862	62895.590086	2674.818226	43547549.313811	2352761.711016	207728.392089	260133.243606	19737181.932493	1266424.975997	25686992.581220	1281627.019296	
116.318681	449055.550481	212252.662367	214112.602648	25383.702454	59550.967908	2552.193602	43567892.576624	2354509.898256	207876.302339	260521.543321	19737181.932493	1266424.975997	25688790.878662	1283067.862458	
117.321429	447715.857258	211914.473018	199461.980532	23830.509390	56369.983339	2434.517788	43586925.940247	2356154.272542	208014.238624	260886.227262	19737181.932493	1266424.975997	25690468.761233	1284414.813687	
118.324176	446462.358853	211597.901131	185772.802099	22370.003087	53352.611091	2321.799758	43604757.090228	2357701.424210	208143.137729	261228.871814	19737181.932493	1266424.975997	25692038.831526	1285675.752671	
119.326923	445288.323953	211301.313050	172969.718209	20996.355851	50493.144567	2213.925036	43621473.105572	2359157.490439	208263.707699	261550.915624	19737181.932493	1266424.975997	25693509.454506	1286857.046285	
120.329670	444192.862427	211024.138689	161021.710121	19704.374270	47776.260262	2110.554715	43637120.943401	2360527.462355	208376.223788	261853.469972	19737181.932493	1266424.975997	25694882.090394	1287962.020435	
121.332418	443171.773307	210765.346177	149883.773801	18489.808054	45194.507980	2011.501758	43651756.834462	2361815.790681	208481.110450	262137.553331	19737181.932493	1266424.975997	25696161.972027	1288994.677667	
122.335165	442220.844403	210523.910598	139511.145490	17348.545713	42741.054302	1916.592926	43665436.165642	2363026.794695	208578.790164	262404.156067	19737181.932493	1266424.975997	25697354.336509	1289958.969770	
123.337912	441335.941669	210298.827932	129859.793485	16276.603266	40409.498996	1825.665038	43678213.087432	2364164.663828	208669.678417	262654.239936	19737181.932493	1266424.975997	25698464.321908	1290858.768557	
124.340659	440513.009200	210089.115052	120886.418138	15270.124234	38193.875021	1738.564976	43690140.513929	2365233.457662	208754.183712	262888.738077	19737181.932493	1266424.975997	25699496.967258	1291697.865870	
125.343407	439748.069231	209893.809727	112548.451852	14325.379649	36088.648521	1655.149681	43701270.122837	2366237.105927	208832.707559	263108.555017	19737181.932493	1266424.975997	25700457.212552	1292479.973574	
126.346154	439037.222137	209711.970621	104804.059088	13438.768048	34088.718830	1575.286155	43711652.355464	2367179.408507	208905.644481	263314.566668	19737181.932493	1266424.975997	25701349.898752	1293208.723560	
